DS_Temp,Resistor,tem
23,10647.59,296.15
24,10307.22,297.15
25,9891.42,298.15
26,9455.94,299.15
27,9006.32,300.15
28,8621.97,301.15
29,8294.25,302.15
30,7915.25,303.15
31,7558.02,304.15
32,7250.61,305.15
33,6930.04,306.15
34,6653.4,307.15
35,6389.8,308.15
36,6113.85,309.15
37,5874.82,310.15
38,5646.29,311.15
39,5406.25,312.15
40,5197.65,313.15
41,4997.64,314.15
42,4805.69,315.15
43,4621.33,316.15
44,4444.11,317.15
45,4240.31,318.15
46,4061.47,319.15
47,3935.92,320.15
48,3769.17,321.15
49,3637.54,322.15
50,3496.11,323.15
51,3359.5,324.15
52,3240.47,325.15
53,3112.36,326.15
54,3000.62,327.15
55,2892.11,328.15
56,2775.15,329.15
57,2684.21,330.15
58,2584.57,331.15
59,2508.96,332.15
60,2393.34,333.15
61,2311.61,334.15
62,2231.79,335.15
63,2153.81,336.15
64,2077.61,337.15
65,2012.35,338.15
66,1957.43,339.15
67,1859.11,340.15
68,1780.85,341.15
69,1729.74,342.15
70,1679.45,343.15
71,1629.96,344.15
72,1573.22,345.15
73,1517.51,346.15
74,1462.81,347.15
75,1424.34,348.15
76,1371.3,349.15
77,1334,350.15
78,1289.85,351.15
79,1246.36,352.15
80,1203.52,353.15
81,1168.3,354.15
82,1133.51,355.15
83,1092.33,356.15
84,1058.46,357.15
85,1025.02,358.15
86,1005.11,359.15
87,965.77,360.15
88,946.3,361.15
89,907.79,362.15
90,876.1,363.15
91,851.02,364.15
92,826.17,365.15
93,801.54,366.15
94,777.15,367.15
95,752.97,368.15
96,729.02,369.15
97,717.12,370.15
98,693.49,371.15
99,675.91,372.15
100,652.65,373.15
